País 2008,Qtd 2009,Valor 2009,Qtd 2010,Valor 2010,Qtd 2011,Valor 2011,Qtd 2012,Valor 2012,Qtd 2013,Valor 2013,Qtd 2014,Valor 2014,Qtd 2015,Valor 2015,Qtd 2016,Valor 2016,Qtd 2017,Valor 2017,Qtd 2018,Valor 2018,Qtd 2019,Valor 2019,Qtd 2020,Valor 2020,Qtd 2021,Valor 2021,Qtd 2022,Valor 2022,Qtd 2023,Valor 2023
Afeganistão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,46,0,0,0,0
África do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,95,4,21,0,0,0,0,117,698
"Alemanha, República Democrática",225086,393482,27715,138666,36070,144150,8189,56342,61699,265978,213348,761653,10680,44780,14012,68109,15467,87702,10794,45382,3660,25467,6261,32605,2698,6741,7630,45367,4806,31853
Angola,54786,84235,33557,189891,13889,69001,2833,8861,1573,9300,12182,23124,1908,17089,7359,35390,10170,61680,477,709,345,1065,0,0,0,0,4068,4761,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antígua e Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,191,219,1549,624,1864,805,2268,419,1866,383,1848
Antilhas Holandesas,8235,10651,9810,12808,7335,10188,9247,14081,11281,19565,4455,7169,6660,10545,16641,26450,5400,8550,0,0,0,0,0,0,0,0,0,0,0,0
Arábia Saudita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,142
Argélia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,162,4523,0,0,13253,55460,0,0,0,0,20385,95130,0,0,0,0,0,0,15711,59150,0,0,1015,4176,6,13,480,3232,4545,36133
Aruba,0,0,0,0,900,1680,0,0,0,0,450,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austrália,1014,9195,1823,17960,3632,40704,9345,56045,16707,101715,6308,43709,7437,48011,1954,13799,1350,7500,2055,6902,1161,4682,1013,3413,705,4034,1424,12299,2485,13565
